Rozmiar;Operacja;Struktura;czas[ns]
500000;insert;Open Addressing;100
500000;remove;Open Addressing;83
500000;insert;Separate Chaining;438
500000;remove;Separate Chaining;297
500000;insert;AVL Tree;351
500000;remove;AVL Tree;321
1000000;insert;Open Addressing;92
1000000;remove;Open Addressing;65
1000000;insert;Separate Chaining;678
1000000;remove;Separate Chaining;127
1000000;insert;AVL Tree;536
1000000;remove;AVL Tree;286
1500000;insert;Open Addressing;100
1500000;remove;Open Addressing;93
1500000;insert;Separate Chaining;688
1500000;remove;Separate Chaining;299
1500000;insert;AVL Tree;351
1500000;remove;AVL Tree;290
2000000;insert;Open Addressing;91
2000000;remove;Open Addressing;96
2000000;insert;Separate Chaining;403
2000000;remove;Separate Chaining;157
2000000;insert;AVL Tree;314
2000000;remove;AVL Tree;311
2500000;insert;Open Addressing;103
2500000;remove;Open Addressing;99
2500000;insert;Separate Chaining;858
2500000;remove;Separate Chaining;151
2500000;insert;AVL Tree;458
2500000;remove;AVL Tree;249
3000000;insert;Open Addressing;191
3000000;remove;Open Addressing;96
3000000;insert;Separate Chaining;600
3000000;remove;Separate Chaining;133
3000000;insert;AVL Tree;375
3000000;remove;AVL Tree;289
3500000;insert;Open Addressing;113
3500000;remove;Open Addressing;103
3500000;insert;Separate Chaining;449
3500000;remove;Separate Chaining;148
3500000;insert;AVL Tree;481
3500000;remove;AVL Tree;313
4000000;insert;Open Addressing;135
4000000;remove;Open Addressing;98
4000000;insert;Separate Chaining;819
4000000;remove;Separate Chaining;128
4000000;insert;AVL Tree;525
4000000;remove;AVL Tree;500
